comment,star
這是一家把顧客都當賊的店，所以沒進去吃。事情經過如下：我們在門口等座，我在一邊喝水，我媳婦問服務員要菜單看一下，服務員表示只有一本，其他顧客正在看。我媳婦提出，可否再拿一本來，早決定好吃什麼，也給他們省時間，提高翻檯率。服務員表示不可以，我媳婦就離開了。服務員可能沒看到我現在旁邊（要是她明知道我在旁邊，還那麼說，那就太惡劣了～），看我媳婦離開後，對正在看菜單的那對顧客說，要是放兩本菜單在外面，你一轉身，顧客就給拿走了。我就想問：你家菜單是什麼做的？你當天津人都窮瘋了？我也不是他們爸媽，沒義務教育他們，只想勸他們一句，心有多大，企業才能做多大！朋友們還去不去的，自己掂量吧。,1
就是普通的家常菜改個好聽的名字而已，價高量小，很不實惠，以後不會再去了,2
菜不是很好吃而且品種少，不太喜歡！,2
總體感覺沒有北京的店好，包含菜的味道和種類。本來愛喝的梨湯也變得好稀，感覺水兌多了。也不是那年從北京背好幾瓶迴天津時的味道！坐下點菜好幾道菜都沒有。這次點的鮮貝燒茄子、缸子肉、牛肉燴飯還湊乎。,2
跟老公去大悅城玩兒的時候吃的，味道真的還不錯哦！這家店是一對年輕的小兩口自主創業開的店，環境很不錯，菜品的質量也不錯，是以西餐為主的很有情調的小店，是我喜歡的範兒，等孩子放假了也帶孩子去嚐嚐，孩子肯定會喜歡噠！不過這次去可能是太餓了才吃上的忘了拍照了，下次再去一定補上！,5
心煩，味道先不提了，上菜速度奇慢，奇慢，奇慢，4個菜愣是上了一個小時都沒上完也是醉了，每次問都是馬上好馬上好，我次奧，真是心力交瘁,1
服務態度非常惡劣，味道一般般！不值,1
老闆特別熱情，會聊天，大家在那等位置還特高興，飯菜性價比還不錯，就是有點油膩,4
姐夫請客來的這裡，人超級多的情況下，環境自然就會嘈雜一些，蜜汁梅肉沒有比爾的好吃，但烤羊肉的味道很好，玉米加了煉乳也很美味，其它烤肉也都不錯，熱菜涼菜炸食也很豐富，一樣償幾口就飽了。有熱茶可以配這點真的很滿意☕。,4
週末和父母一起去吃飯，選擇了這家餐廳，店如其名，非常有天津味道的一家餐廳，都是老天津的味道，簡直不要太好吃。菜品量大價格也不貴，爸爸媽媽一直給我點贊，說我推薦的餐廳還真不錯👍，以後還會推薦給我的好朋友們，😀😀😀😀😀,5
以前聽朋友說好吃，挺期待的。今天去的，廚師打死賣鹽的了。。還是把老抽當生抽用了。。只吃出了鹹，沒吃出香來。有個服務員態度真心不好。,2
朋友要回家四個人中午團購去的，挺實惠的說實話，吃到快完事，在那個草莓上冒出來一條死蟲子，那叫一個噁心，叫來經理說了一堆，明顯能力不夠！矯情半天說送我們幾個杯子完事！咱也不想矯情了，這麼大個店這種處事方式很讓人接受不了，反正是再也不想去了，我們同事都說害怕了，以前都經常在這裡吃的，希望貴公司領導能注意自身品質，只有顧客滿意了，你才能生存下去！,1
環境還可以 裝修的不錯 不過菜做的真心很一般 還沒我對象做的好吃了 感覺有點坑爹 一次管夠 奶茶味道還行,2
現在這種烤肉店越來越少了，就當是回憶以前吧，性價比肯定不錯~,4
很好很好沒有讓我失望 下次還要去,5
環境確實不錯，在大學城騎鵝公社內，靠窗的位置不多，味道真心不如白堤路鳳荷園那家，價位比鳳荷園貴，味道卻對不起價錢，當時是什麼節日來著，忘記了，服務員一直推薦什麼烤半雞，烤全雞，說過了這幾天就沒有，最後點了一個半雞，真心上當，也沒有手套之類的，給了個西餐刀，基本沒吃飯什麼肉，切哪哪骨頭，哎！不會再去了，吃娜娜家還是鳳荷園吧！,2
一直喜歡著，有段時間不來就有點想念了,5
五點四十拿到號，如果等位的話要八點四十才能等到位子（微信可以看到前面有多少桌）還好明智的選擇坐吧檯，就是桌子凳子有點高，但沒有覺得不好呢。榴蓮千層蛋糕很合我的口味，裡面還有榴蓮果肉，煙花妓女意麵和豬肋排都有點辣，不吃辣的人就不評價了，下次可以嘗試墨魚意麵～奶酪罐子甜甜的，喜歡甜食的親可以吃吃看哦～餐廳座位不是很多，好多人會一直聊好久，所以才會等那麼久吧～整體味道不錯，但是如果等三個小時就有點不值得了～,4
很少發差評，但第一次在這的用餐經歷實在很糟糕，從不到5點拿了個大桌號，一直等到8點多才能入席，要不是我們一大家子人多，那個時間去哪排都得等，否則我們絕不會再那乾等那麼久。而且可氣的是5點拿完號，明明有空大桌確一直不喊號，到了5點40才開始喊，對於等了那麼久的顧客也沒有任何情感上的安慰，一副完全誰讓你樂意等的態度，這點服務意識比起海底撈等差遠了！實際菜品也很一般，門口提示嚴禁吸菸，卻不制止吸菸行為，完全沒有考慮大多數顧客的感受，總之印象很差，再也不會來了！,1
店有點難找，門面不太起眼，來的時候碰上一家人也是費勁的找到這裡；店面裝修還不錯，不大但是有好幾層；說是天津菜，但是基本上都有改動，真沒發現太好吃的，八珍豆腐竟然放的千葉豆腐，不是改良是改爛了啊；酸奶還可以，奶茶的杯子很可愛，其他菜口味偏重，味道就不評價了，只能說這次被大眾點評坑害的好慘啊T_T；另外走的時候又碰到進店時那家人，給的評價是真難吃，還不如小區門口的盒飯。朋友和家人都不喜歡，不會再來了，另外大眾點評好評多的原因大概是因為好評返現吧？這就別跟淘寶學了吧？,1
沒有傳說的那麼好吃，菜品很鹹，上菜速度慢,4
真心不知道為什麼那麼多人排隊 太難吃了 一桌子菜基本都剩下了,1
菜太太鹹了，齁鹹齁鹹的，不滿意,2
今天跟小夥伴來娜娜家吃飯，本來11點40多到齊的，11.50多點完餐，之後就沒人理我們了，我們中間問過一次服務員，她說給催下餐，最後等到12點半還沒有上菜，後來找個服務員，才說你們來沒有點餐，當時小夥伴幸虧拍了照片給他們看，說點完餐之後就沒人理我們，也不結算費用，我說之前問服務員還說催餐，那都是催鬼啊？什麼都不問就催餐？你知道什麼就催，也不具體問下，導致我們12點40多才點上餐，我們還有1點的電影都耽誤了，上菜也非常慢，說都要半個小時才能上，那我們之前耽誤的誰給算，我們主食都吃完了，沙拉都沒有上，我們就不要了就要退，跟服務員說完了，不理我們，後來我們就是不要了，但是說未經允許不許退，我就奇怪了，我們在還沒上之前很長時間就說都吃完了沙拉不上，我們不要了，之後自稱是經理的一個男的，後來說給退了，服務員們就一個個跟大爺似的，怎麼叫也不過來，最後還是我親自過去請過來的！這次是在外面吃飯一來最不好的一次，以後也不會再去，也建議其他沒有去過的顧客們慎重選擇，不僅服務態度差，菜色也一般，相信不會再去嘗試，覺得做服務行業的除了菜品，更要注重服務質量,1
合口味，很喜歡上次在北京就錯過了，幸好天津也有了，雖然排隊將近1個小時，實在是暗暗忍耐，吃個飯不容易啊。 乾酪魚，小吊梨湯 基本是每桌必點乾酪魚:外形漂亮 不忍動筷 味道不錯梨湯: 要了一壺 銅壺看著不大 實際湯不少呢 小茶杯略小 一杯杯的品 更顯梨湯很多，如果喝不了可以買個小玻璃瓶 打包帶走 小煎豬肝:雖然脂肪含量高，但是好這口 偶爾吃吃也是好的豌豆黃，芸豆糕 也是傳統味道 涼涼 甜甜吃著爽口肉龍:很厚實 感覺肉和麵一樣的厚 分量很足兩人沒吃了還有個什麼排骨 忘記名字了 看著不大的一碗，吃起來肉也不少希望一直保持水準，推薦 還會再吃,5
恆隆裡的吃的都挺火的，環境嘛新開沒多久自然也是很好。看不出是哪個菜系，推薦菜裡有鍋包肉，就權當他是東北菜吧，但是鍋包肉感覺做的很一般，肉都炸老了，嚼不動，燻排骨很香很好吃，推薦！,4
人很多，飯點需要等位，種類齊全，肉品新鮮，味道特別好吃。,5
口味偏甜 推薦手撕奶香餅 甜度適中 奶香十足而不膩 油量可以接受 不過沒拍照,4
地道天津味，懷念的味道，卻又不失新穎，,5
因為等號過時，排了兩次號才吃到的，真的很失望⋯⋯或許是碰巧的原因，總體印象很鹹，口重的吃比較合適。,2
前幾天家人過生日來這邊吃，等位等了一個小時。點菜最後落下了一個，這個沒啥，可能店員忙起來沒聽清楚菜名落下了一個。但吧檯負責做飲料的服務員嘗我點的檸檬茶幹嘛？用攪拌勺嘗完了還放回去繼續攪拌，要不是我們位置正好對著吧檯看見這一幕，我是不是就要喝她口水了？上飲料時，我問她“你們做飲料都要嘗嗎？”她回答“我們不嘗不知道里面缺什麼”，一副“你太大驚小怪了”的樣子，我哭笑不得的問“那你嘗完了再放回來攪拌？”，她才說我重新做一杯。但我也不敢再喝了，果斷退了飲料。,1
很難吃，口味偏酸，一個吃貨都會不愛吃，真奇怪怎麼會那麼多人排隊，而且基本沒擺盤，是太忙了麼，服務員一直催旁桌給人家撤盤子……這點很不好,1
菜品總的說還說到的過去，沒覺得有什麼特色，燻肉那個吃起來味道已經發苦了，希望改進。月牙骨燉豆角月牙骨在哪？全是肥肉。可能去用餐時比較晚排號是門口服務員很不耐煩啊。點餐時服務員一邊點一邊用對講機跟別人聊天。這感覺很不好，希望能多注意。真的沒什麼讓我再次用餐的理由(>_<｡),1
來吃過幾次了，東北菜的口味，燻排骨很入味，吃起來挺過癮的，烤蟶子味道不錯，鍋包肉酸酸甜甜的，得趁熱吃，大拉皮麻醬很多，可以適量加，三杯雞味道一般，不是很正宗，總體來說性價比還是挺高的,4
轉了一圈最後找到這裡。本來看標籤是天津菜才來的，結果發現不是想象中的那種。比較小清新，適合情侶約會。送了兩杯酸奶。點了個剔牙雞，還有強抱洋白菜，吃了一陣才想起來拍照。超喜歡進化的那副畫！！！剔牙雞不錯哦。洋白菜一般咯喜歡這個盤子！！！,4
中規中矩吧 沒什麼特色 但也不難吃 只能說是中規中矩 門口有哈根達斯的優惠 可以吃 唯一亮點了,4
真是想不通為什麼這麼多人排隊，難吃的要死。首先先說他們這特色奶香手撕餅，奶香味讓人聞了就噁心的吃不下。鐵板的茄子不知道里面夾的什麼肉還有一股味。又甜又膩，吃了兩口就不想吃了。就那個豆腐還行，將就著吃了幾口。永遠永遠不會再來了。,2
這家長草很久 聽說不錯 健身後第一次吃自助 不是週末  但排隊的人依舊很多 必須提前取號才行 服務員引位秩序井然 衛生狀況佳 自取菜品種類挺多的 而且都挺好吃的 不像別家的自取食物難以下嚥 飲料也沒有怪味 這點挺不錯的 甜品區的阿姨人很好 告訴我兩分鐘後有熱蛋撻出爐 等下再拿 別拿冷掉的 推薦豆漿 芝士蛋糕 還有水果 烤肉方面也很不錯 切肉小哥會主動問你是否需要 而且想多吃可以多給 非常贊 推薦烤蝦 烤雞翅 烤雞 培根金針菇卷 還有烤魷魚 槽點是隻能現金支付 不過這個可以理解 總之這次自助餐不虛此行 挺值的 給大家做個參考,4
今天的菜不知道怎麼了，沒有以前的好吃。尤其是蘑菇湯。羊排還可以。焗飯裡面的根本就不熱。,2
週六午餐，等位半個多小時。等位期間提供免費的檸檬水，炸蝦片和煮雞蛋（忘記名字了，好像叫什麼果）。點了招牌的幾個菜和梨湯。覺得甜品類更好吃。好評率挺高的果仁蝦，我真心沒覺有多好吃。梨湯也不是我的湯，因為不甜，不甜……整體感覺還不錯，服務也很熱情，還會再去的！,4
一直心心念念來這家，之前朋友來過，看評價不錯。週末看完比賽特意過來拔草～～下午不到四點半到的，已經開始拿號了，人很多。四點三十五分開始叫號，先是大桌，然後四人桌最後小桌，第一批沒進去，等了會又可以進了✌三個人點了如菜單的菜，不少，不過他家菜量不是很大，最後就脫骨雞剩了打包，其他都乾淨了😁最愛吃的是小煎豬肝，很滑嫩不會老，口味也很好。梨湯很稠，蝦球的那個蝦炸的不錯，不過下面的梨就一般了。脫骨雞不錯，有兩種醬料可以蘸，肉也不少。紅參肥牛略失望，原來紅參是指紅蘿蔔😂烤鴨不便宜就點了鴨埔的也是卷著吃的不錯。服務態度非常好，點完會提醒有的菜會慢有的會快，不好意思之類的。負責我們區域的有個小女孩挺好挺熱情的😁點個贊👍,5
閨女很愛吃他家的燻排骨，連吃吃了幾次，每次點的不同的菜都有驚喜,5
大眾點評真的是代表大眾口味嗎？價格不便宜 但一點西餐味兒都沒有意大利麵竟然是甜口的？西班牙海鮮飯 是不是叫醬油焗飯更合適？焗土豆泥到底放了多少糖？娜娜家還需在原料和烹飪水平上下功夫 目前離同等價位其他西餐廳水準差的很遠,1
很久沒來濱江道這邊了，聽了朋友的介紹專門來這邊嚐嚐，地點很好找，門面不是明顯的也很容易找到了。店內的環境很有特點，有很多時尚元素。店不是很大，來吃飯的人特別多。店家的服務也很好，很喜歡的一家店，菜的味道很好，喜歡吃天津菜的可以來。,5
我都懷疑這些說菜好吃的都是買來的點評吧！這也叫好吃搞笑,2
很不錯 依然的棒 去一次想去第二次 甜點做的味道太棒了 賣相也太好了 貴些也值了~~,5
整個就餐過程沒有給我們拿白水。我找他要。他直接從旁邊桌上端下來別人喝過水的壺。我說我不想喝別人桌上直接端下來給我的水。我跟他說。他直接就就站在我桌子前跟我喊。趕緊開除算了。影響顧客滿意是會影響生意的。,1
味道很差勁。吃海參，說沒有刀叉。海參明顯是藥發的。還吹牛十年老店。實物和菜單嚴重不符。上菜小哥，手指頭都伸到菜裡面了。不推薦！,2
服務員總體來說都很客氣，可是東西真的不值這個價錢，蛋糕在冰櫃裡放的梆硬，意麵少的可憐也有點鹹，口味好是可以的，可能天津好吃的西餐真的為數不多才讓大家別無選擇的選擇娜娜家吧，還有就是點菜真的很麻煩，花了這麼多錢去了個大排檔，也是醉了,1
昨天啥都沒吃，就中午來這裡吃了個午飯，下午開始狂拉肚子，跑廁所跑死了，扇貝不新鮮，去醫院輸液了要，再見吧就,1
裡面挺大的，人不少，東西還算好吃,5
第二次去了，朋友們都說不錯，性價比挺高,4
特別贊，是吃過最好的一次自助，環境特別好，服務態度也特別好，種類多，下次一定還來,5
說實話，烤肉很一般，和其他家沒有什麼區別，優點就是環境還可以，缺點很多，人不齊不讓進，排隊拿號過號作廢，等待也沒有水和零食吃，服務和海底撈差了十萬八千里，要不是請客邀了朋友來直接就pass了,4
在恆隆裡算比較火的一家了，所以早早就去了。17：00進店的，環境不錯。要了大家都推薦的#鍋包肉# 、#金牌烤蟶# 和#媽媽香薰骨# ，外加主食媽媽黃米烙，這個主食最先上來，外皮有些麵包口感，裡面夾著黏黃米，還行。#金牌烤蟶# 醬香味的，蟶子處理得比較乾淨。#鍋包肉# 個人比較喜歡，炸得很酥脆，趁熱吃最佳，不過不喜歡糖醋口的人慎選。#媽媽香薰骨#覺得一般，裡面不入味，只在外面有些燻味，而且肉比較老。6點多人比較多了，有些嘈雜。整體可以。,4
浙江人，看那麼多人排隊口碑這麼好才吃的，除了大拉皮和蟶子還行，其他連還行都算不上，招牌魚丸湯肉很散，而且腥，牛腩煲一樣的菜沒法吃，蔬菜太老.非常失望，也有可能口味不同,2
沒有像大家說的那麼好，排隊的人倒是不少，服務非常棒，環境個人不是很喜歡，有一些吵，娜娜家的奶酪罐子比較喜歡，剩下無感，可能不對我的胃口,2
商家光想掙錢，不為顧客著想，定做時和他們說兩個孩子比較小，希望商家能照顧一下，商家都不聽我說話，在電話裡光聽他說了！不人性化！,1
不知道送多少桌了 現在還是排隊呢,2
昨天晚上去吃的，總體就是湊合吧，只能現金結賬不太好，畢竟現在一個路邊攤都能微信支付寶付錢，服務挺一般的，想坐在靠外一點的地方，被告知有預定，坐在裡面吧，發東西特別慢，就是靠自助菜品吃飽的！再說口味吧，有個牛肉，根本咬不動！有待提高啊！,2
真不知道怎麼那麼火的，排隊感受一次，絕對一次再也不會去了。慢，排隊慢、點餐慢、上菜慢、叫服務員慢、拿東西慢。結賬站在你眼前死盯，也不管你是否輸密碼。先結賬後上菜，盯著結賬後，你就看不見服務員了。各種聽不見，各種看不見，很多菜中午不提供。最後的菜直接打包，等的已經不餓了。,1
還行吧，之前看點評上評價那麼高，一直想來，這次終於如願了！首先燻排骨做的還算地道，兩個人點了小份都沒吃完～手撕餅味道和口感也很不錯，但是由於菜點多了，而且最後才上主食，吃了一口就打包回來了～乾鍋千頁豆腐比較一般，味道對我而言有點重～拉皮量太大了，味道倒也可以～我們還點了一個芸豆什麼豬肉的，這個實在不推薦！         下次可以約幾個朋友一起來吃，還算行吧！,4
第四次去吃我就發誓以後再也不去了，簡直太差了，水煮魚沒有一點味道，估計沒放鹽，烤蟶子上來時都是涼的,1
東西種類不少，味道也還行，還會再去。,5
味道太一般了，不知道五星好評哪來的,4
吃過的算是挺好的一家自助。。。,4
週末和同事一起去的，人挺多的，等了大概20多分鐘，烤肉還不錯，蜜汁梅肉偏甜個人不喜歡，其它還好，烤玉米更甜很膩，蛋撻和巧克力慕斯好吃，烤生蠔限量每人每次兩隻，偏小味道還行，其它菜還是可以，是性價比不錯的自助，缺點現金支付，不能用支付寶或微信很不方便,5
晚上去的   到的時候有點晚   等候的人不是很多    實物品種很多   可能是因為時間的緣故   服務員上的肉類相對少了   環境還是可以的    特色是棉花糖  感覺一下子回到了童年,4
在芸豆糕裡吃出不明物體 沒有想到啊 另，接到了點評的信息說由於有效信息過少不予展示，還是頭一次遇到這種情況，再次沒想到,2
人太多 人太多 人太多 重要的事說三遍,5
必須吐槽一下：北李媽媽菜館的鍋包肉太難吃了，味道怪的讓人接受不了。不明白為什麼大眾點評大家都要推薦它，而且之前幾次去都點不到這個菜。真是讓我無語到家了，服務員態度還特別的差，再也不去了,1
5點出頭到的已經在等位了，不過人不多啦等會兒就到☺️環境💯，領到“何事驚慌”小包廂，4小桌挺安靜比大廳好多了啦～推薦乾酪魚 梨湯（這一壺太多喝到爆炸）幹了😤素燒鵝也不錯大家多吃菜；不推薦牛肉燴飯，可能和大眾口味不同噢但確實覺得膩乎，肉塊較大量大😗,5
都挺好的。環境和感覺 菜飯樣子顏色也很好 就是味道有點鹹。美中不足,4
感覺和南京大牌檔一個性質，人超多，不過距離飯點提前半小時就不會等位子。乾酪魚滑滑的QQ的，牛肉燴飯和家裡燉得一樣，肉滿多的，但有點鹹。素燒鵝很好吃的。菜整體感覺有點少。總體來說還算滿意，下次會去嘗其他的。,4
之前去一般，最近又去改變了好多，食物的種類增多了，味道也提升了，人也很旺，不錯！,4
太差了，第一次去還好，一次不如一次，點個羊排問服務員辣嗎，非說不辣，上來特別辣，孩子完全吃不了，果斷退掉，結果就是最後的疙瘩湯不給上了，催了半天上來也是涼的，量還比原來少好多，明顯的報復顧客，而且想點個別的菜也不給點了，這就是“素質”啊，不愧是東北人乾的，“素質”真高，疙瘩湯最後也沒喝，免得被服務員使壞，我也不推薦大家去了，高“素質”在那擺著，我可“消費”不起…,1
新店開業 五點拿的號  快七點才讓進去  東西越來越貴 還不讓自帶飲料了！！！一塊巧克力蛋糕賣40多塊錢，基本上每樣都要三四十塊。點餐還得去前面排隊，就兩個平板有菜單，點餐又得等十幾分鍾，然後上菜，整個上菜過程要一小時，原因就是新開業，既然沒準備好為什麼要開業呢！！！！以前覺得娜娜家是親民的，現在改高大上了，但只有價格高，普通的一份意麵，女生都吃不太飽。,2
乾鍋沒有點火，口水雞像是方便麵調料調出來的，一桌子菜就玉米餅還可以。服務員基本就等於沒有。,1
上菜慢，口味鹹，人很多，都是看大眾點評來的,4
開門時間過了不久去了娜娜家 被告知四點以前沒有主食 那就來塊兒蛋糕吧 坐下等 真的快有半個小時才上 也不是現做的 冰箱裡拿出來的 能告訴我為毛要等這麼久嗎 為毛呢 店裡只有我一桌客人 千層榴蓮 46一塊兒 一般吧 榴蓮肉肉也不是很多,2
口味不錯，服務態度點贊！！！以後給我優惠,4
服務員服務態度極差，並且告訴我們投訴她的話就上大眾點評差評。這的一身傲氣我給滿分！,1
逛累了過來休息休息，環境不錯，特別適合閨蜜小聚，人挺多的，但是座位安排佈置的挺溫馨，不會顯得很亂。點了兩個飲品，微信點餐，名字都挺好聽，比較有新意，就是點完就忘了。抹茶冰樂好大一杯，頂著厚厚的奶油，撒上抹茶粉，好看更好喝。果汁飲品像雞尾酒的顏色，一層一個口味一層一個顏色。下次可以試試菜品類，看起來都挺不錯的樣子。,4
適合聚會 海鮮略少 菜品比較豐富 服務相當好,4
大拉皮每桌必點 非常大一份金牌烤蟶子 肉質很棒 很香烤肉 有點鹹 但是味道好,5
味道不錯，就是稍微有點鹹，手抓餅不錯,5
什麼店啊，喝杯酸梅汁，酸梅汁還是熱的，喝出了螺釘，還不承認是機器的故障，這是怎麼做餐飲的，業界良心呢？？？,1
鼎鼎有名的娜娜家！週一下午不用排隊，奶酪罐子贊贊噠～但是飲品真的不怎樣,4
第二次跟同事去的，中午人很多，服務員典型忙不過來。食物味道還可以，就是剛吃完沒多久就拉肚子了，估計是不乾淨吧。。。唉！！應該不會再去了。。。,2
一直沒覺得多好！去大悅城逛街累了找不到歇腳的地兒，點了奶茶就是奶精衝的似的。彩虹蛋糕就是大奶油加大涼皮。可能都是奶，吃完回家就噁心。。。那天去人還特別吵特別曬。,1
價格漲了點。啤酒沒有黑啤了，只有小麥的，摻的水有點多了。其他還是不錯。,2
過號作廢是應該的，但是你寧可喊空號，沒人進，也讓等著，是不是有點浪費資源呢？別忘了規矩是死的，人是活的！！要不是孩子非得吃，根本不會來。菜的味道也不去之前了，環境衛生就更不用說了……,1
菜品很一般，服務也不是很好，菜品不太乾淨，蝦連蝦線也沒有去,1
還可以吧。團購比較合適。不錯不錯不錯不錯。,5
9月3日中午去水遊城吃漢巴味德因為我和愛人吃了扇貝，當天夜裡出現拉水嘔吐和發燒症狀！因我吃的扇貝較多我的病情最重！孩子沒吃什麼事情沒有！希望漢巴味德把號菜品質量關！以後我也不會去吃了！,2
衝著點評來的，看到這麼多好評，以為很好吃。但是出乎意料地，菜一點也不好吃。而且感覺肉嫩的不正常，像是泡發的，要麼就是嫩肉粉放多了。衛生狀況一般，倒垃圾的小哥端著垃圾桶經過餐桌，很影響食慾。店面很小，覺得是網紅店。如果大眾點評給好評，可以得到五元紅包，這就是大家違心給好評的原因。,1
真沒感覺特別好，也許是吃不慣巴西烤肉，吃了一點就飽了,4
菜點多了不提醒，及時發現協調退說已經配好了。旁邊桌後來的剛點和我們一樣的菜，然後等了好久一起上桌的！一點兒都不誠信的店家～開始兩盤菜味道還好，後面的柒號肉絲過甜！饢炒肉打死賣鹽的了～感覺就是立頓奶茶衝的居然22那麼貴。居然還理直氣壯的和我們說就是不提供發票。真想舉報偷稅漏稅啊，太垃圾了！,1
覺得菜品味道太鹹，上菜太慢，服務態度不好,1
服務態度好，菜也很不錯，竟能把耗油用得出神入化,5
大眾點評是要砸了自己招牌吧，以前8口味的館子就很好，現在這種也能上9？饞魚蜜蝦還能湊合吃，別的一塌糊塗，酒精類的就是水加糖精加酒精，奶茶水死了,1
大悅城的環境當然好，週一中午居然沒有正餐，點的零食雖然也能吃飽，高熱量你懂的。要了份小燉肉，微味道很贊，特別想就米飯，可是沒有。其它都是常吃的，彩虹沙拉，巧克力杏仁華夫餅，藍天白雲的特飲，味道和其他店沒差，好吃沒說的，就是貴啊,5
已經很多次了，總體還是一樣，還是很喜歡,4
挺好的，品種齊全，味道不錯。服務周到。和家人去了幾次了,5
菜都是提前炒出來的，像是拿微波爐加熱的，端上來連碟子邊都是熱的，去過一次不會再去了,2
這是第二次來了，第一次兩點多來的，告知主食主菜沒有，以為是來晚了，今天又來一次，依然沒有主菜跟主食，告知得四點以後才有，沒辦法點其他的，點五個得有三個沒有，喝的點了好幾個也沒有，因為是吧檯點餐，好容易點好了再回去座位被人佔了，服務員說了好久才讓那桌客人挪開，蛋糕應該不是當天的，又涼又硬，邊上都有點幹了。沙拉一個小時才上，催了好幾次被告知做了一半了，海鮮芒果沙拉，牛油果是生的，海鮮沒找到，也沒有看到幾桌客人，這麼簡單的沙拉不用做一小時這麼誇張吧，這頓飯吃的，哎,2
來了好幾次了，覺得人多來這裡吃很熱鬧，很喜歡他家的蜜汁梅肉，還有烤生蠔，其他小菜也都很好，種類繁多，和這個價格比較相配，我閨女特別喜歡他家的棉花糖，真是哄娃神器！唯一不足的就是送肉的小哥每次都給的比較少讓給多來點兒給的也不是特別多！！,4
之前聽朋友說這家店很不錯，而且每次去恆隆都是大長隊，但是上週末去服務感覺很不怎麼樣。菜單標註的很不清楚，很多菜看起來像是菜，上來全是大量湯水的燉菜，但是我們點了四菜一湯。最終上來四湯一菜，很是無語。關鍵是服務員也不給建議，上來菜我們很傻眼，服務員還偷笑…哎。感覺頓時不好啦。其他的服務都還行，收銀姐姐也挺好噠。但是對那個偷偷笑卻不給客人建議的小姑娘服務員很是討厭。,1
很早去就開始等位了，感覺應該好吃，結果進去口感並沒有覺得驚豔，很一般的味道，服務員口音很重，說了好幾遍才聽懂說的什麼……裡面都是小桌，擺的很擠，環境很嘈雜，說說菜品，小吊梨湯--很稠，說是放了銀耳和蜂蜜，銀耳的味道很濃，沒喝出梨湯的味道……乾酪魚--還可以，很爽口！豌豆黃--就是單純的豌豆味，溼溼的，不是很甜，口感一般。杏仁豆腐--很硬，沒有一點點的杏仁的味道，我們幾乎沒怎麼吃，很不好吃！紅豆涼糕--甜度適中，還可以。脫骨雞--又貴又不好吃……很小一隻雞，68元！還沒什麼味道～也不脫骨！小吊豆腐--超級難吃！價格跟菜品很不搭，感覺不值這個價錢！總體來講有種上當受騙的感覺，以後絕對不會再光顧！,2
自己點餐再送去吧檯結賬（餐前），朋友胃口不舒服，起點養胃茶還不行，醉了。,2
一直聽說這家店很出名，排隊雖然有27桌但是空桌多，半小時就到了。量真的太大了，兩個人連一半都沒吃完。疙瘩湯和大涼皮我覺得都是四人份吧。大家推薦的蟶子真的是非常好吃，我們兩個人都吃乾淨了。手撕餅有點甜膩，我們不是很喜歡。另外，服務態度很好呢。,4
人特多的，室內有點熱，菜一般般,4
哈哈，又吃到了，特別喜歡這個蝦和肝尖，超好吃，肉龍也不錯，肉特別多，總之下次還要去,5
恆隆店是我比較喜歡的一家店，基本上每週都會來一次，最近發現服務越來越差，菜品質量也越來越差，很失望……,1
不知道捧這家的是對美食怎樣的一種熱愛，天天排隊，趕上有時間來拔個草吧，四十多塊錢一份招牌奶酪罐子就這半杯稀湯頂著兩條餅乾，還點了一份焗飯據說還得等半小時才見面，是否應該有愛有期待～,2
盼了許久才盼到開業，地道京味館子，在北京名氣就不小，有多家分店，終於入駐天津，梨湯是很滋補的飲品，而京菜比南方菜口略重，又不會像津菜那麼注重著色和味濃，所以總體來還比較喜歡！梨湯不是直甜的那種口感，應該是果子裡熬製出的甘甜最多加入冰糖，略稠，最喜歡的菜應該是乾酪魚，有點相似布丁，但又有很濃的奶味，豬肝特別香，梨球蝦酸甜口，香橙魚果味比較濃，也是偏甜口，雞肉沒什麼特別，豌豆黃是北京有名的小點了，不叫上一份總覺得沒吃足了京味似的，環境復刻了北京的文化底蘊，是那種讓人會常光顧的地方，長輩們大概都會喜歡，除了朋友小聚，帶家人去吃也不錯～,5
個人感覺甜筒不如以前濃了，希望一如既往吧！,5
